year_month,uf,product,unit,volume,created_at
2006,BAHIA,ÓLEO DIESEL (m3),m3,"181461,363",2023-12-03
2007,BAHIA,ÓLEO DIESEL (m3),m3,"206276,30168063",2023-12-03
2008,BAHIA,ÓLEO DIESEL (m3),m3,"212849,72809137",2023-12-03
2009,BAHIA,ÓLEO DIESEL (m3),m3,"219708,681592028",2023-12-03
2010,BAHIA,ÓLEO DIESEL (m3),m3,"238874,431767549",2023-12-03
2011,BAHIA,ÓLEO DIESEL (m3),m3,"241033,337473435",2023-12-03
2012,BAHIA,ÓLEO DIESEL (m3),m3,"271622,861212626",2023-12-03
2013,BAHIA,ÓLEO DIESEL (m3),m3,"290950,5",2023-12-03
2014,BAHIA,ÓLEO DIESEL (m3),m3,"269785,416",2023-12-03
2015,BAHIA,ÓLEO DIESEL (m3),m3,"221019,985",2023-12-03
2016,BAHIA,ÓLEO DIESEL (m3),m3,"219744,046",2023-12-03
2017,BAHIA,ÓLEO DIESEL (m3),m3,"3055626,88538615",2023-12-03
2018,BAHIA,ÓLEO DIESEL (m3),m3,"250517,815",2023-12-03
2019,BAHIA,ÓLEO DIESEL (m3),m3,"267524,252",2023-12-03
2020,BAHIA,ÓLEO DIESEL (m3),m3,null,2023-12-03
2000,CEARÁ,ÓLEO DIESEL (m3),m3,"46924,303",2023-12-03
2001,CEARÁ,ÓLEO DIESEL (m3),m3,"47058,569",2023-12-03
2002,CEARÁ,ÓLEO DIESEL (m3),m3,"50219,925",2023-12-03
2003,CEARÁ,ÓLEO DIESEL (m3),m3,"46560,932",2023-12-03
2004,CEARÁ,ÓLEO DIESEL (m3),m3,"39724,131",2023-12-03
2005,CEARÁ,ÓLEO DIESEL (m3),m3,"44397,485",2023-12-03
2006,CEARÁ,ÓLEO DIESEL (m3),m3,"43374,347",2023-12-03
2007,CEARÁ,ÓLEO DIESEL (m3),m3,"51611,1826760061",2023-12-03
2008,CEARÁ,ÓLEO DIESEL (m3),m3,"66787,2465054731",2023-12-03
2009,CEARÁ,ÓLEO DIESEL (m3),m3,"57233,3112179021",2023-12-03
2010,CEARÁ,ÓLEO DIESEL (m3),m3,"848217,090165808",2023-12-03
2011,CEARÁ,ÓLEO DIESEL (m3),m3,"86242,0257584025",2023-12-03
2012,CEARÁ,ÓLEO DIESEL (m3),m3,"106413,890358093",2023-12-03
2013,CEARÁ,ÓLEO DIESEL (m3),m3,"100824,731",2023-12-03
2014,CEARÁ,ÓLEO DIESEL (m3),m3,"108206,815",2023-12-03
2015,CEARÁ,ÓLEO DIESEL (m3),m3,"90540,3774462977",2023-12-03
2016,CEARÁ,ÓLEO DIESEL (m3),m3,"86785,933",2023-12-03
2017,CEARÁ,ÓLEO DIESEL (m3),m3,"83346,1384489545",2023-12-03
2018,CEARÁ,ÓLEO DIESEL (m3),m3,"72941,232",2023-12-03
2019,CEARÁ,ÓLEO DIESEL (m3),m3,"78826,634",2023-12-03
2020,CEARÁ,ÓLEO DIESEL (m3),m3,"70192,01",2023-12-03
2000,DISTRITO FEDERAL,ÓLEO DIESEL (m3),m3,"27931,62",2023-12-03
2001,DISTRITO FEDERAL,ÓLEO DIESEL (m3),m3,"34122,639",2023-12-03
2002,DISTRITO FEDERAL,ÓLEO DIESEL (m3),m3,"33863,218",2023-12-03
2003,DISTRITO FEDERAL,ÓLEO DIESEL (m3),m3,"28047,691",2023-12-03
2004,DISTRITO FEDERAL,ÓLEO DIESEL (m3),m3,"23477,298",2023-12-03
2005,DISTRITO FEDERAL,ÓLEO DIESEL (m3),m3,"27745,916",2023-12-03
2006,DISTRITO FEDERAL,ÓLEO DIESEL (m3),m3,"361398,931",2023-12-03
2007,DISTRITO FEDERAL,ÓLEO DIESEL (m3),m3,"29833,3583383724",2023-12-03
2008,DISTRITO FEDERAL,ÓLEO DIESEL (m3),m3,"29224,5921598911",2023-12-03
2009,DISTRITO FEDERAL,ÓLEO DIESEL (m3),m3,"34656,217181434",2023-12-03
2010,DISTRITO FEDERAL,ÓLEO DIESEL (m3),m3,"33731,4935539765",2023-12-03
2011,DISTRITO FEDERAL,ÓLEO DIESEL (m3),m3,"35978,6158101081",2023-12-03
2012,DISTRITO FEDERAL,ÓLEO DIESEL (m3),m3,"34999,9684483706",2023-12-03
2013,DISTRITO FEDERAL,ÓLEO DIESEL (m3),m3,"34065,931",2023-12-03
2014,DISTRITO FEDERAL,ÓLEO DIESEL (m3),m3,39003,2023-12-03
2015,DISTRITO FEDERAL,ÓLEO DIESEL (m3),m3,"36476,001",2023-12-03
2016,DISTRITO FEDERAL,ÓLEO DIESEL (m3),m3,"34351,2",2023-12-03
2017,DISTRITO FEDERAL,ÓLEO DIESEL (m3),m3,"27313,7773968767",2023-12-03
2018,DISTRITO FEDERAL,ÓLEO DIESEL (m3),m3,"26758,416",2023-12-03
2019,DISTRITO FEDERAL,ÓLEO DIESEL (m3),m3,"375748,288",2023-12-03
2020,DISTRITO FEDERAL,ÓLEO DIESEL (m3),m3,null,2023-12-03
2000,ESPÍRITO SANTO,ÓLEO DIESEL (m3),m3,"57037,007",2023-12-03
2001,ESPÍRITO SANTO,ÓLEO DIESEL (m3),m3,"60935,226",2023-12-03
2002,ESPÍRITO SANTO,ÓLEO DIESEL (m3),m3,"700278,166",2023-12-03
2003,ESPÍRITO SANTO,ÓLEO DIESEL (m3),m3,"67309,21",2023-12-03
2004,ESPÍRITO SANTO,ÓLEO DIESEL (m3),m3,"60830,23",2023-12-03
2005,ESPÍRITO SANTO,ÓLEO DIESEL (m3),m3,"64577,356",2023-12-03
2006,ESPÍRITO SANTO,ÓLEO DIESEL (m3),m3,"72670,192",2023-12-03
2007,ESPÍRITO SANTO,ÓLEO DIESEL (m3),m3,"82696,4641578459",2023-12-03
2008,ESPÍRITO SANTO,ÓLEO DIESEL (m3),m3,"81724,6162463909",2023-12-03
2009,ESPÍRITO SANTO,ÓLEO DIESEL (m3),m3,"78711,0082335393",2023-12-03
2010,ESPÍRITO SANTO,ÓLEO DIESEL (m3),m3,"80297,5612428355",2023-12-03
2011,ESPÍRITO SANTO,ÓLEO DIESEL (m3),m3,"84501,2099992297",2023-12-03
2012,ESPÍRITO SANTO,ÓLEO DIESEL (m3),m3,"101182,712727145",2023-12-03
2013,ESPÍRITO SANTO,ÓLEO DIESEL (m3),m3,"86241,191",2023-12-03
2014,ESPÍRITO SANTO,ÓLEO DIESEL (m3),m3,"102789,686",2023-12-03
2015,ESPÍRITO SANTO,ÓLEO DIESEL (m3),m3,"1095463,81163089",2023-12-03
2016,ESPÍRITO SANTO,ÓLEO DIESEL (m3),m3,"82178,428",2023-12-03
2017,ESPÍRITO SANTO,ÓLEO DIESEL (m3),m3,"84935,2680700034",2023-12-03
2018,ESPÍRITO SANTO,ÓLEO DIESEL (m3),m3,"105310,639",2023-12-03
2019,ESPÍRITO SANTO,ÓLEO DIESEL (m3),m3,"94992,449",2023-12-03
2020,ESPÍRITO SANTO,ÓLEO DIESEL (m3),m3,"99585,461",2023-12-03
2000,GOIÁS,ÓLEO DIESEL (m3),m3,"111478,163",2023-12-03
2001,GOIÁS,ÓLEO DIESEL (m3),m3,"116602,613",2023-12-03
2002,GOIÁS,ÓLEO DIESEL (m3),m3,"112744,612",2023-12-03
2003,GOIÁS,ÓLEO DIESEL (m3),m3,"111832,332",2023-12-03
2004,GOIÁS,ÓLEO DIESEL (m3),m3,"142814,118",2023-12-03
2005,GOIÁS,ÓLEO DIESEL (m3),m3,"110816,729",2023-12-03
2006,GOIÁS,ÓLEO DIESEL (m3),m3,"112063,76",2023-12-03
2007,GOIÁS,ÓLEO DIESEL (m3),m3,"1732371,77521014",2023-12-03
2008,GOIÁS,ÓLEO DIESEL (m3),m3,"141551,398368765",2023-12-03
2009,GOIÁS,ÓLEO DIESEL (m3),m3,"159187,031804689",2023-12-03
2010,GOIÁS,ÓLEO DIESEL (m3),m3,"205800,796749056",2023-12-03
2011,GOIÁS,ÓLEO DIESEL (m3),m3,"220735,915186555",2023-12-03
2012,GOIÁS,ÓLEO DIESEL (m3),m3,"241330,177858477",2023-12-03
2013,GOIÁS,ÓLEO DIESEL (m3),m3,"268387,122",2023-12-03
2014,GOIÁS,ÓLEO DIESEL (m3),m3,"243288,804",2023-12-03
2015,GOIÁS,ÓLEO DIESEL (m3),m3,"244353,23",2023-12-03
2016,GOIÁS,ÓLEO DIESEL (m3),m3,"209011,72",2023-12-03
2017,GOIÁS,ÓLEO DIESEL (m3),m3,"224813,228744005",2023-12-03
2018,GOIÁS,ÓLEO DIESEL (m3),m3,"201517,446",2023-12-03
2019,GOIÁS,ÓLEO DIESEL (m3),m3,"202622,688",2023-12-03
2020,GOIÁS,ÓLEO DIESEL (m3),m3,"2161577,942",2023-12-03
2000,MARANHÃO,ÓLEO DIESEL (m3),m3,"55715,419",2023-12-03
2001,MARANHÃO,ÓLEO DIESEL (m3),m3,"60009,261",2023-12-03
2002,MARANHÃO,ÓLEO DIESEL (m3),m3,"61653,063",2023-12-03
2003,MARANHÃO,ÓLEO DIESEL (m3),m3,"53186,808",2023-12-03
2004,MARANHÃO,ÓLEO DIESEL (m3),m3,"55212,556",2023-12-03
2005,MARANHÃO,ÓLEO DIESEL (m3),m3,"61764,034",2023-12-03
2006,MARANHÃO,ÓLEO DIESEL (m3),m3,"57805,462",2023-12-03
2007,MARANHÃO,ÓLEO DIESEL (m3),m3,"64392,7880289637",2023-12-03
2008,MARANHÃO,ÓLEO DIESEL (m3),m3,"68667,4776357975",2023-12-03
2009,MARANHÃO,ÓLEO DIESEL (m3),m3,"69675,279368936",2023-12-03
2010,MARANHÃO,ÓLEO DIESEL (m3),m3,"68662,1471881433",2023-12-03
2011,MARANHÃO,ÓLEO DIESEL (m3),m3,"79421,63986935",2023-12-03
2012,MARANHÃO,ÓLEO DIESEL (m3),m3,"1203183,91918968",2023-12-03
2013,MARANHÃO,ÓLEO DIESEL (m3),m3,"107196,57",2023-12-03
2014,MARANHÃO,ÓLEO DIESEL (m3),m3,"113871,585",2023-12-03
2015,MARANHÃO,ÓLEO DIESEL (m3),m3,"124420,334985062",2023-12-03
2016,MARANHÃO,ÓLEO DIESEL (m3),m3,"106569,783",2023-12-03
2017,MARANHÃO,ÓLEO DIESEL (m3),m3,"117400,812789349",2023-12-03
2018,MARANHÃO,ÓLEO DIESEL (m3),m3,"128393,108",2023-12-03
2019,MARANHÃO,ÓLEO DIESEL (m3),m3,"111674,49",2023-12-03
2020,MARANHÃO,ÓLEO DIESEL (m3),m3,"97791,687",2023-12-03
2000,MATO GROSSO,ÓLEO DIESEL (m3),m3,"143420,561",2023-12-03
2001,MATO GROSSO,ÓLEO DIESEL (m3),m3,"151727,83",2023-12-03
2002,MATO GROSSO,ÓLEO DIESEL (m3),m3,"149473,691",2023-12-03
2003,MATO GROSSO,ÓLEO DIESEL (m3),m3,"153110,433",2023-12-03
2004,MATO GROSSO,ÓLEO DIESEL (m3),m3,"154052,195",2023-12-03
2005,MATO GROSSO,ÓLEO DIESEL (m3),m3,"182935,275",2023-12-03
2006,MATO GROSSO,ÓLEO DIESEL (m3),m3,"129239,882",2023-12-03
2007,MATO GROSSO,ÓLEO DIESEL (m3),m3,"116998,328992599",2023-12-03
2008,MATO GROSSO,ÓLEO DIESEL (m3),m3,"1843744,52778943",2023-12-03
2009,MATO GROSSO,ÓLEO DIESEL (m3),m3,"127152,216262468",2023-12-03
2010,MATO GROSSO,ÓLEO DIESEL (m3),m3,"174010,994837083",2023-12-03
2011,MATO GROSSO,ÓLEO DIESEL (m3),m3,"206738,073128506",2023-12-03
2012,MATO GROSSO,ÓLEO DIESEL (m3),m3,"220662,919335048",2023-12-03
2013,MATO GROSSO,ÓLEO DIESEL (m3),m3,"250596,462",2023-12-03
2014,MATO GROSSO,ÓLEO DIESEL (m3),m3,"251680,22",2023-12-03
2015,MATO GROSSO,ÓLEO DIESEL (m3),m3,"230302,039",2023-12-03
2016,MATO GROSSO,ÓLEO DIESEL (m3),m3,"191326,131",2023-12-03
2017,MATO GROSSO,ÓLEO DIESEL (m3),m3,"169205,853041189",2023-12-03
2018,MATO GROSSO,ÓLEO DIESEL (m3),m3,"252453,145",2023-12-03
2019,MATO GROSSO,ÓLEO DIESEL (m3),m3,"268512,692",2023-12-03
2020,MATO GROSSO,ÓLEO DIESEL (m3),m3,"274975,939",2023-12-03
2000,MATO GROSSO DO SUL,ÓLEO DIESEL (m3),m3,"85861,322",2023-12-03
2001,MATO GROSSO DO SUL,ÓLEO DIESEL (m3),m3,"92547,005",2023-12-03
2002,MATO GROSSO DO SUL,ÓLEO DIESEL (m3),m3,"83257,98",2023-12-03
2003,MATO GROSSO DO SUL,ÓLEO DIESEL (m3),m3,"75791,562",2023-12-03
2004,MATO GROSSO DO SUL,ÓLEO DIESEL (m3),m3,"74101,717",2023-12-03
2005,MATO GROSSO DO SUL,ÓLEO DIESEL (m3),m3,"76511,576",2023-12-03
2006,MATO GROSSO DO SUL,ÓLEO DIESEL (m3),m3,"86680,923",2023-12-03
2007,MATO GROSSO DO SUL,ÓLEO DIESEL (m3),m3,"71414,1083041286",2023-12-03
2008,MATO GROSSO DO SUL,ÓLEO DIESEL (m3),m3,"67034,4252330184",2023-12-03
2009,MATO GROSSO DO SUL,ÓLEO DIESEL (m3),m3,"976702,15749143",2023-12-03
2010,MATO GROSSO DO SUL,ÓLEO DIESEL (m3),m3,"83142,3751370725",2023-12-03
2011,MATO GROSSO DO SUL,ÓLEO DIESEL (m3),m3,"99342,1473618889",2023-12-03
2012,MATO GROSSO DO SUL,ÓLEO DIESEL (m3),m3,"124917,866008687",2023-12-03
2013,MATO GROSSO DO SUL,ÓLEO DIESEL (m3),m3,"123808,632",2023-12-03
2014,MATO GROSSO DO SUL,ÓLEO DIESEL (m3),m3,"144930,55",2023-12-03
2015,MATO GROSSO DO SUL,ÓLEO DIESEL (m3),m3,"123957,98319064",2023-12-03
2016,MATO GROSSO DO SUL,ÓLEO DIESEL (m3),m3,"113698,842",2023-12-03
2017,MATO GROSSO DO SUL,ÓLEO DIESEL (m3),m3,"92082,789252171",2023-12-03
2018,MATO GROSSO DO SUL,ÓLEO DIESEL (m3),m3,"102897,853",2023-12-03
2019,MATO GROSSO DO SUL,ÓLEO DIESEL (m3),m3,"116243,605",2023-12-03
2020,MATO GROSSO DO SUL,ÓLEO DIESEL (m3),m3,"129051,614",2023-12-03
2000,MINAS GERAIS,ÓLEO DIESEL (m3),m3,"346959,228",2023-12-03
2001,MINAS GERAIS,ÓLEO DIESEL (m3),m3,"314194,587",2023-12-03
2002,MINAS GERAIS,ÓLEO DIESEL (m3),m3,"330417,334",2023-12-03
2003,MINAS GERAIS,ÓLEO DIESEL (m3),m3,"4459464,588",2023-12-03
2004,MINAS GERAIS,ÓLEO DIESEL (m3),m3,"424468,256",2023-12-03
2005,MINAS GERAIS,ÓLEO DIESEL (m3),m3,"430548,609",2023-12-03
2006,MINAS GERAIS,ÓLEO DIESEL (m3),m3,"479172,264",2023-12-03
2007,MINAS GERAIS,ÓLEO DIESEL (m3),m3,"491687,67490012",2023-12-03
2008,MINAS GERAIS,ÓLEO DIESEL (m3),m3,"538586,796738901",2023-12-03
2009,MINAS GERAIS,ÓLEO DIESEL (m3),m3,"524366,205408133",2023-12-03
2010,MINAS GERAIS,ÓLEO DIESEL (m3),m3,"548454,502622659",2023-12-03
2011,MINAS GERAIS,ÓLEO DIESEL (m3),m3,"593425,928955112",2023-12-03
2012,MINAS GERAIS,ÓLEO DIESEL (m3),m3,"564704,557425061",2023-12-03
2013,MINAS GERAIS,ÓLEO DIESEL (m3),m3,"579778,844",2023-12-03
2014,MINAS GERAIS,ÓLEO DIESEL (m3),m3,"592777,737",2023-12-03
2015,MINAS GERAIS,ÓLEO DIESEL (m3),m3,"565255,542722744",2023-12-03
2016,MINAS GERAIS,ÓLEO DIESEL (m3),m3,"6794026,073",2023-12-03
2017,MINAS GERAIS,ÓLEO DIESEL (m3),m3,"526376,107683835",2023-12-03
2018,MINAS GERAIS,ÓLEO DIESEL (m3),m3,"554381,8",2023-12-03
2019,MINAS GERAIS,ÓLEO DIESEL (m3),m3,"654729,334",2023-12-03
2020,MINAS GERAIS,ÓLEO DIESEL (m3),m3,"657632,661",2023-12-03
2000,PARÁ,ÓLEO DIESEL (m3),m3,"86689,774",2023-12-03
2001,PARÁ,ÓLEO DIESEL (m3),m3,"82785,696",2023-12-03
2002,PARÁ,ÓLEO DIESEL (m3),m3,"1133371,494",2023-12-03
2003,PARÁ,ÓLEO DIESEL (m3),m3,"107827,09",2023-12-03
2004,PARÁ,ÓLEO DIESEL (m3),m3,"124360,664",2023-12-03
2005,PARÁ,ÓLEO DIESEL (m3),m3,"117334,44",2023-12-03
2006,PARÁ,ÓLEO DIESEL (m3),m3,"130813,888",2023-12-03
2007,PARÁ,ÓLEO DIESEL (m3),m3,"137757,699440738",2023-12-03
2008,PARÁ,ÓLEO DIESEL (m3),m3,"136524,696990191",2023-12-03
2009,PARÁ,ÓLEO DIESEL (m3),m3,"114485,614677291",2023-12-03
2010,PARÁ,ÓLEO DIESEL (m3),m3,"125487,387442922",2023-12-03
2011,PARÁ,ÓLEO DIESEL (m3),m3,"128072,718875617",2023-12-03
2012,PARÁ,ÓLEO DIESEL (m3),m3,"154354,542326437",2023-12-03
2013,PARÁ,ÓLEO DIESEL (m3),m3,"149426,216",2023-12-03
2014,PARÁ,ÓLEO DIESEL (m3),m3,"176429,198",2023-12-03
2015,PARÁ,ÓLEO DIESEL (m3),m3,"2321405,88491214",2023-12-03
2016,PARÁ,ÓLEO DIESEL (m3),m3,"173175,476",2023-12-03
2017,PARÁ,ÓLEO DIESEL (m3),m3,"194939,306954831",2023-12-03
2018,PARÁ,ÓLEO DIESEL (m3),m3,"214874,743",2023-12-03
2019,PARÁ,ÓLEO DIESEL (m3),m3,"211519,152",2023-12-03
2020,PARÁ,ÓLEO DIESEL (m3),m3,"246890,088",2023-12-03
2000,PARAÍBA,ÓLEO DIESEL (m3),m3,"20436,9",2023-12-03
2001,PARAÍBA,ÓLEO DIESEL (m3),m3,"24088,109",2023-12-03
2002,PARAÍBA,ÓLEO DIESEL (m3),m3,"25456,734",2023-12-03
2003,PARAÍBA,ÓLEO DIESEL (m3),m3,"26296,039",2023-12-03
2004,PARAÍBA,ÓLEO DIESEL (m3),m3,"26535,971",2023-12-03
2005,PARAÍBA,ÓLEO DIESEL (m3),m3,"27869,35",2023-12-03
2006,PARAÍBA,ÓLEO DIESEL (m3),m3,"24910,705",2023-12-03
2007,PARAÍBA,ÓLEO DIESEL (m3),m3,"29396,8069672343",2023-12-03
2008,PARAÍBA,ÓLEO DIESEL (m3),m3,"368078,009085523",2023-12-03
2009,PARAÍBA,ÓLEO DIESEL (m3),m3,"35737,1369091583",2023-12-03
2010,PARAÍBA,ÓLEO DIESEL (m3),m3,"36783,173193943",2023-12-03
2011,PARAÍBA,ÓLEO DIESEL (m3),m3,"38613,751887803",2023-12-03
2012,PARAÍBA,ÓLEO DIESEL (m3),m3,"37998,717757363",2023-12-03
2013,PARAÍBA,ÓLEO DIESEL (m3),m3,"40190,72",2023-12-03
2014,PARAÍBA,ÓLEO DIESEL (m3),m3,"42062,18",2023-12-03
2015,PARAÍBA,ÓLEO DIESEL (m3),m3,"37878,76",2023-12-03
2016,PARAÍBA,ÓLEO DIESEL (m3),m3,"37358,01",2023-12-03
2017,PARAÍBA,ÓLEO DIESEL (m3),m3,"34403,0330620139",2023-12-03
2018,PARAÍBA,ÓLEO DIESEL (m3),m3,"36164,722",2023-12-03
2019,PARAÍBA,ÓLEO DIESEL (m3),m3,"34188,26",2023-12-03
2020,PARAÍBA,ÓLEO DIESEL (m3),m3,"38320,603",2023-12-03
2000,PARANÁ,ÓLEO DIESEL (m3),m3,"226565,028",2023-12-03
2001,PARANÁ,ÓLEO DIESEL (m3),m3,"271780,191",2023-12-03
2002,PARANÁ,ÓLEO DIESEL (m3),m3,"332722,838",2023-12-03
2003,PARANÁ,ÓLEO DIESEL (m3),m3,"309260,443",2023-12-03
2004,PARANÁ,ÓLEO DIESEL (m3),m3,"348683,832",2023-12-03
2005,PARANÁ,ÓLEO DIESEL (m3),m3,"297982,233",2023-12-03
